,id,turns,victory_status,winner,white_rating,black_rating,moves,opening_name,opening_ply
10046,2WHc3q0d,94,mate,black,1336,1058,d4 d5 c4 dxc4 e3 e5 Bxc4 exd4 exd4 Nc6 Nf3 Bb4+ Nc3 Bg4 Be2 Bxf3 Bxf3 Nxd4 O-O Bxc3 bxc3 Nxf3+ Qxf3 Qf6 Re1+ Ne7 Qxb7 O-O Qxc7 Rac8 Qxe7 Rxc3 Qxf6 gxf6 Bb2 Rc2 Bxf6 Rfc8 h3 R8c6 Bd4 Rd6 Bxa7 Rdd2 Be3 Re2 Rxe2 Rxe2 Kf1 Rc2 a4 Rc3 a5 Rc8 a6 Ra8 a7 Kf8 Bb6 Ke7 Rc1 Kd6 Ke2 Kd5 Rc7 Ke4 Rb7 Re8 Rxf7 Ke5 Rxh7 Re6 Bc7+ Kd5+ Kf1 Ra6 Bb8 Ke4 Re7+ Kd3 Rd7+ Kc2 f4 Kc3 Rb7 Kc4 f5 Kd3 f6 Ke3 f7 Ra1+ Rb1 Rxb1#,Queen's Gambit Accepted: Old Variation,5
10047,sHdDXAlK,22,resign,black,1203,1215,e4 e5 Nf3 Nc6 c3 Nf6 d4 exd4 Nxd4 Nxe4 Qe2 Qe7 Nb5 Nxc3 N5xc3 Kd8 Ne4 Nd4 Qe3 Nc2+ Ke2 Nxe3,Ponziani Opening: Jaenisch Counterattack,6
10048,OlH18wTz,42,mate,black,1227,1190,e4 d5 exd5 Qxd5 Nc3 Qd8 Nf3 Nf6 d4 Nc6 Bf4 Bf5 Nb5 Nd5 Bc4 Nxf4 d5 Nb4 Na3 e6 Nd4 exd5 Bxd5 Qxd5 Nxf5 Qxf5 O-O Rd8 Re1+ Be7 Qf3 O-O Rxe7 Nxc2 Nxc2 Qxc2 Qxf4 Rd1+ Rxd1 Qxd1+ Re1 Qxe1#,Scandinavian Defense: Mieses-Kotroc Variation,4
10049,h3573yD3,55,resign,white,1171,1381,d4 d5 Nc3 Nc6 e4 dxe4 Nxe4 Qxd4 Nd2 Bg4 f3 Qe3+ Be2 Nf6 fxg4 Nxg4 Nh3 Nce5 Nc4 Nf3+ gxf3 Nf2 Bxe3 Nxd1 Bxd1 O-O-O f4 Kb8 Bf3 c6 Bd2 Re8 O-O-O f6 f5 e6 Bh5 Re7 Nd6 Rd7 Bb4 Bxd6 fxe6 Rdd8 Bxd6+ Rxd6 Rxd6 g6 Bf3 Kc7 Rhd1 Kb6 e7 Re8 Rd7,Nimzowitsch Defense: Scandinavian Variation |  Bogoljubov Variation,5
10050,fZAry4kM,100,mate,black,1378,1159,e4 d5 Bd3 Nf6 exd5 Nxd5 Bc4 Be6 Nf3 Nf4 Bxe6 Nxe6 d4 Nc6 Be3 Nb4 Na3 Qd5 c3 Nc6 Qd3 O-O-O Nb5 h6 c4 Qh5 d5 a6 Na7+ Nxa7 Bxa7 c6 Nd4 Nxd4 Bxd4 cxd5 Qf3 Qg6 cxd5 e6 O-O exd5 Qh3+ Kb8 Qh4 Be7 Qg3+ Bd6 Qxg6 fxg6 Bxg7 Rh7 Bf6 Be7 Bxe7 Rxe7 Rae1 Rc7 h4 d4 Rd1 Rcd7 f4 d3 f5 gxf5 Rxf5 d2 Rh5 Rd6 b4 b5 Kh2 Re8 Rf5 Re1 Rf8+ Kc7 Rxd2 Rxd2 Rf7+ Rd7 Rf6 Ra1 Rxh6 Rxa2 Rh5 Ra4 Rh6 Rxb4 Rxa6 Kb7 Rh6 Rb2 Kh3 Kc8 Kg4 Rxg2+ Kh5 Rd5#,Scandinavian Defense,2
10051,an552HaC,9,outoftime,white,1144,1226,d4 c5 e4 Qa5+ Bd2 Qb6 Nc3 Qb5 Bxb5,Sicilian Defense: Smith-Morra Gambit #2,3
10052,hTPxcBpD,34,mate,black,1244,1141,e4 d5 e5 f6 Qh5+ g6 Qh4 fxe5 c4 dxc4 Bxc4 Nf6 d3 Nc6 Bh6 Nd4 Nc3 Nc2+ Kf1 Nxa1 Bxf8 Rxf8 Qe4 Nxe4 dxe4 Qd2 Nf3 Qc1+ Ne1 Nc2 g3 Qxe1+ Kg2 Rxf2#,Scandinavian Defense,2
10053,MXzffIVa,43,mate,white,1383,1146,e4 d5 exd5 Qxd5 Nc3 Qd8 Bc4 Nf6 Nf3 Nc6 O-O Nd4 d3 Bg4 Be3 Nxf3+ gxf3 Bh3 Re1 e5 d4 exd4 Bxd4+ Be7 Nd5 Nxd5 Bxg7 Rg8 Rxe7+ Kxe7 Qe2+ Kd6 Qe5+ Kc5 Qd4+ Kb4 Bxd5+ Kb5 a4+ Ka6 Qc4+ Kb6 Qb5#,Scandinavian Defense: Mieses-Kotroc Variation,4
10054,RG3FircY,48,mate,black,1155,1256,e4 e5 d4 exd4 Nf3 c5 Bg5 f6 Bf4 d6 c3 dxc3 Nxc3 g5 Be3 a6 Nd2 b5 Nd5 Nc6 Be2 Nce7 Bh5+ Ng6 Bxg6+ hxg6 O-O Bb7 b4 f5 exf5 gxf5 bxc5 Bxd5 cxd6 Qxd6 Nf3 f4 Bd4 Rh7 Be5 Qe6 Re1 O-O-O Nxg5 Qg6 Nxh7 Qxg2#,Center Game: Kieseritzky Variation #3,6
10062,zgl3WrtY,7,outoftime,white,1573,1403,e4 g6 Bc4 Bh6 Ne2 f6 Bxg8,Modern Defense,2
10064,SgV26881,15,outoftime,white,1585,1441,e4 f6 Nf3 e6 Nh4 Qe7 f4 Qb4 Qh5+ Ke7 Ng6+ Kd6 Nxh8 Qc3 dxc3,Barnes Defense,2
10066,tQywJOEp,28,outoftime,black,1500,1212,d3 e5 c3 Be7 b3 c5 a3 Nf6 a4 O-O Ra3 c4 dxc4 Bxa3 Nxa3 d5 Bd2 Qe7 Qc2 Qxa3 cxd5 Qa1+ Qc1 Qxc1+ Bxc1 Nxd5 e3 Bf5,Mieses Opening: Reversed Rat,2
10067,p9ZulUSV,5,outoftime,white,1853,1500,e4 Nh6 d4 Na6 Nf3,Hippopotamus Defense #2,2
10069,dHT5n3G6,66,outoftime,black,1545,1706,e4 d5 exd5 Nf6 d4 e6 dxe6 Bxe6 Nf3 Nbd7 Bb5 c6 Ba4 Qa5+ Nc3 Ne4 d5 Nxc3 bxc3 Bxd5 Bb3 Qxc3+ Bd2 Qc5 O-O Be7 Re1 Bxf3 Qxf3 O-O Bc3 Bf6 Re3 Bxc3 Rxc3 Qe5 Rd1 Nf6 Re3 Qg5 Re7 Qb5 Rde1 Qa6 Rc7 Qa5 Rce7 a6 h3 Rac8 R1e5 Qb6 Rg5 Nd5 Qg4 Nxe7 Rxg7+ Kh8 Rxh7+ Kxh7 Qh5+ Kg7 Qg5+ Ng6 h4 Qd8,Scandinavian Defense: Modern Variation,5
10070,YepjBHCT,91,outoftime,white,1567,1796,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 Bd7 Bb5 e5 Bxd7+ Nbxd7 Ndb5 Nb6 Bg5 a6 Bxf6 gxf6 Na3 Rg8 O-O f5 exf5 Qd7 Qf3 O-O-O Nd5 Nxd5 Qxd5 Qxf5 Nc4 Be7 Nb6+ Kb8 b4 Qxc2 b5 Qc7 Na4 axb5 Qxb5 Qc6 Qxc6 bxc6 Rab1+ Kc7 Rfc1 Rg6 Nc3 d5 Nb5+ Kd7 Nc3 f5 Rb7+ Ke8 Re1 d4 Na4 e4 Nb2 h5 Nc4 f4 Rxe4 d3 Rexe7+ Kf8 Nd2 Re8 Rf7+ Kg8 Rxf4 Re1+ Nf1 d2 Rd4 Rg7 Rxg7+ Kxg7 Rxd2 c5 f3 c4 Kf2 Rb1 Rc2 Rd1 Rxc4,Sicilian Defense: Kupreichik Variation,10
10071,DkVmjOH1,37,resign,black,1954,1787,e4 c5 b4 cxb4 a3 d5 e5 Qa5 f4 g6 Nf3 Nc6 Bb2 bxa3 Bxa3 Qa4 Nc3 Qxf4 d4 Qe3+ Be2 Qxc3+ Kf2 Bf5 Ra2 Nh6 Bb2 Ng4+ Kg3 Qe3 Rf1 h5 h4 Bh6 Bc1 Bf4+ Kh3,Sicilian Defense: Wing Gambit |  Marshall Variation,5
10072,ghFqNOef,55,resign,white,1796,1669,d4 Nf6 c4 d5 cxd5 Nxd5 e4 Nf6 Nc3 c6 Nf3 Bg4 Be2 e6 O-O Be7 Bg5 O-O a3 Nbd7 Qc2 h6 Be3 Rc8 Rab1 b6 Bf4 c5 Rbd1 Qe8 d5 exd5 exd5 Nh5 Be3 Bd6 Nb5 Bb8 d6 a6 Nc3 b5 h3 Be6 a4 b4 Bxa6 bxc3 Qxc3 Rc6 Bb5 Rxd6 Bxc5 Nxc5 Bxe8,Queen's Gambit Refused: Marshall Defense,4
10073,nkXIMkNq,53,mate,white,1774,1690,d4 e6 c4 c5 d5 Qb6 e4 Nf6 e5 Ng8 Nc3 Ne7 Nf3 exd5 cxd5 d6 exd6 Qxd6 Nb5 Qb6 d6 Ng6 Nc7+ Kd7 Qa4+ Nc6 Nxa8 Qb4+ Qxb4 Nxb4 Bb5+ Kxd6 O-O Bg4 Ng5 Be6 Be8 Be7 Rd1+ Nd5 Nxf7+ Bxf7 Bxf7 Nf4 Bxf4+ Kc6 Bxd5+ Kb5 a4+ Ka6 Bc4+ Ka5 Bd2#,Horwitz Defense,2
10074,HNgYB846,75,resign,white,1743,1738,e4 e5 Nf3 Nc6 Bb5 Nge7 O-O a6 Bxc6 Nxc6 d4 exd4 Nxd4 Nxd4 Qxd4 Qf6 Qxf6 gxf6 Nc3 Bd6 Nd5 Be5 Bh6 c6 Nb6 Rb8 c3 Rg8 Rfe1 d6 Nxc8 Rxc8 f4 Rg6 fxe5 Rxh6 exd6 Kd7 Rad1 Re8 b3 Rh4 Rf1 Re6 Rd4 Rh5 Rb4 b5 Rd4 Rhe5 a4 c5 Rd5 Rxd6 Rxe5 fxe5 Rxf7+ Ke6 Rxh7 Rd3 Rh6+ Kd7 Rxa6 Rxc3 axb5 Rxb3 Ra7+ Kd6 Ra6+ Kc7 Rc6+ Kd7 Rxc5 Rb4 Rxe5,Ruy Lopez: Cozio Defense,6
10075,4w787c2x,67,resign,white,1735,1759,f4 d5 b3 g6 Bb2 Nf6 e3 Bg7 Nf3 Bg4 Be2 O-O Na3 Nbd7 O-O c6 c4 e6 Qc2 Bf5 d3 Qb6 Qd2 Rfd8 Kh1 Rac8 Ne5 Nxe5 fxe5 Ng4 Bxg4 Bxg4 h3 Bh6 hxg4 Bxe3 Qe2 Bg5 Rae1 Kg7 Kh2 Rh8 Qf3 Qc7 cxd5 cxd5 Nb5 Qe7 Re2 h5 gxh5 Rxh5+ Kg1 Rch8 g3 Rh3 Ref2 Rh1+ Qxh1 Rxh1+ Kxh1 Be3 Rf3 Bc5 Nd6 Bxd6 exd6+,Bird Opening: Dutch Variation,2
10076,jPrhClhZ,65,mate,white,1765,1654,b3 e5 Bb2 Nc6 e3 Nf6 Bb5 a6 Bxc6 dxc6 Bxe5 Ng4 Bc3 Qh4 g3 Qh6 h3 Nf6 a4 Ne4 Qf3 Qg6 d3 Nxc3 Nxc3 Be6 Nge2 Bb4 O-O-O O-O e4 b5 Qf4 bxa4 Nxa4 f5 exf5 Rxf5 Qxb4 Rb5 Qf4 Rab8 Nd4 Rb4 Nc5 Bd5 Rh2 a5 c3 R4b6 c4 Bf7 Nd7 Rxb3 Nxb8 Rxb8 Qxc7 Rb4 Qd8+ Be8 Re1 Rxc4+ dxc4 Qd3 Qxe8#,Nimzo-Larsen Attack: Modern Variation #4,5
10078,TNvYWA8H,39,outoftime,white,1687,1763,e4 c5 d4 cxd4 Qxd4 Nc6 Qd1 d6 Nf3 a6 Be3 e6 Be2 Nf6 Nc3 h6 Qd2 Be7 O-O-O O-O Nd4 e5 Nxc6 bxc6 h3 Be6 f4 Qa5 a3 Rfb8 f5 Bd7 Rhf1 d5 Qe1 d4 Nd5 Nxd5 Qxa5,Sicilian Defense: Smith-Morra Gambit #2,3
10079,CZ2FLyXB,87,mate,white,1580,1716,e3 e5 Qh5 Qe7 Nc3 Nf6 Qf3 d6 d3 Bg4 Qxb7 Qd8 Qxa8 Be7 Qxa7 Nc6 Qb7 Bd7 Nb5 O-O Nxc7 Na5 Qb6 Nc6 Bd2 d5 Qb7 Bd6 Nb5 Na5 Qa6 Bxb5 Qxb5 Bc7 b4 Qd7 Qxd7 Nxd7 bxa5 Ra8 Nf3 e4 dxe4 dxe4 Ng5 f5 Bc4+ Kf8 Ne6+ Ke7 Nxc7 Rc8 Nd5+ Kf8 Bb4+ Ke8 Bb5 Rb8 Nb6 Rb7 O-O-O Kf7 Rxd7+ Rxd7 Bxd7 Kg6 a6 Kg5 a7 g6 a8=Q Kh5 h4 h6 g3 f4 gxf4 g5 f3 exf3 Be8+ Kg4 Rg1+ Kxh4 Qxf3 g4 Qg3#,Van't Kruijs Opening,1
10080,VraReboP,66,outoftime,black,1743,2134,Nf3 d5 b3 Nd7 e3 e5 Nc3 c6 Bb2 e4 Nd4 Ngf6 Be2 Ne5 O-O Bd6 d3 exd3 cxd3 O-O Rc1 Re8 Na4 Bb8 a3 Qd6 h3 Nxd3 Nf3 Nxc1 Qxc1 Ne4 Qa1 Qg6 Kh1 f6 Qc1 Be6 Ba1 Bd6 Bd4 Qh6 b4 Bxh3 gxh3 Qxh3+ Kg1 Ng5 Ne5 Bxe5 Bxe5 fxe5 Qd1 e4 Bg4 Nf3+ Qxf3 exf3 Bxh3 Re5 Nc5 h5 Nxb7 g5 Bd7 g4,Nimzowitsch-Larsen Attack,3
10081,rralW6ji,74,mate,black,1617,1500,d4 d5 Nf3 Nf6 Bf4 Bd7 c3 Nc6 Nbd2 Bf5 e3 h6 Qa4 Qd7 Bb5 g5 Ne5 Qe6 Bxc6+ bxc6 Bg3 a5 Qxc6+ Qxc6 Nxc6 Ra6 Ne5 e6 h3 c5 Nb3 Ne4 Bh2 c4 Nc5 Nxc5 dxc5 Bxc5 O-O-O f6 Nf3 Be4 Rhg1 e5 Nd2 Bd3 Nf3 a4 a3 Rb6 Ne1 Be4 f3 Bxe3+ Rd2 Bg6 Bxe5 fxe5 Kd1 Bxg1 Rxd5 Rxb2 Nc2 Rxc2 Rxe5+ Kf7 f4 Rd8+ Ke1 Bf2+ Kf1 Rd1+ Re1 Rxe1#,Queen's Pawn Game: London System,5
10089,rBQUnEKf,20,resign,white,1276,1111,e4 d5 Bb5+ c6 Bd3 e5 Nf3 Qd6 h3 d4 Nh4 Be7 Nf5 Bxf5 exf5 Nf6 f3 O-O c3 Nd5,Scandinavian Defense,2
10090,iiEtnBMM,54,mate,black,1144,1096,d4 e6 Nc3 d5 a3 Nc6 b4 Nf6 Bf4 Ne4 Nxe4 dxe4 f3 Nxd4 fxe4 e5 Bxe5 Qh4+ g3 Qxe4 Rc1 Qxh1 Qxd4 Bd6 Bxd6 cxd6 Qe3+ Be6 Nf3 O-O Nd4 Rae8 Qf3 Qxh2 Qg2 Qh5 e3 Bh3 Qxh3 Rxe3+ Kf2 Qf3+ Kg1 Qe4 Nf5 Rf3 Nxd6 Qe3+ Kg2 Qf2+ Kh1 Rxg3 Bc4 Rxh3#,Horwitz Defense,2
10092,DzbomVek,71,mate,white,1072,1111,c3 e5 Nf3 d6 e4 Bg4 Be2 Bxf3 Bxf3 Nc6 O-O Qg5 Qb3 h5 Qxb7 Rh6 Qxa8+ Nd8 Qxa7 Rg6 g3 h4 Qa4+ c6 d3 Qf6 Nd2 hxg3 fxg3 Ne6 Bh5 Qg5 Qxc6+ Ke7 Bxg6 Qe3+ Rf2 fxg6 Qb7+ Kd8 Qb8+ Ke7 Nc4 Qe1+ Rf1 Qe2 Qxd6+ Ke8 Qxe6+ Be7 Qxg8+ Kd7 Nb6+ Kc6 Qxg7 Bc5+ d4 Bxb6 Qxg6+ Kb7 Rf2 Qe1+ Rf1 Qe3+ Bxe3 Ka8 Rf7 Kb8 Qg8+ Bd8 Qxd8#,Saragossa Opening,1
10093,595b6oKQ,31,resign,white,1271,1119,d4 e6 Nc3 c5 Bf4 d6 e4 Be7 Bb5+ Bd7 e5 Nh6 Qf3 Nf5 Qxb7 Bh4 Qxa8 g5 Bg3 O-O Qxa7 f6 exd6 Qa5 Qxa5 g4 Bxd7 Rd8 Bxe6+ Kg7 Qxd8,Horwitz Defense,2
10094,aiUNpkMg,52,resign,black,1129,1208,e4 d5 exd5 Qxd5 b3 Qd8 Bb5+ Bd7 c4 e5 Qh5 Bxb5 cxb5 g6 Qxe5+ Qe7 f4 Qxe5+ fxe5 c6 Nf3 cxb5 O-O f5 exf6 Nxf6 Re1+ Be7 d3 O-O Bh6 Re8 Bg5 Nc6 Nc3 Nb4 Rad1 Rad8 Ne5 Nc2 Re3 Nxe3 Re1 Bb4 Rxe3 Bxc3 Ng4 Rxe3 Nxe3 Rxd3 Ng4 Nxg4,Scandinavian Defense: Mieses-Kotroc Variation,4
10095,Mrgxhayn,55,resign,white,1633,1131,e3 d5 Bb5+ c6 Ba4 h5 h3 e6 Nf3 g6 Ne5 Bg7 Nd3 Nf6 a3 O-O b4 a6 Bb2 e5 Bxe5 Ne4 c3 g5 Bxb8 g4 Be5 Bf5 Bxg7 Kxg7 Nf4 Qd7 Bc2 Nf6 Bxf5 Qxf5 hxg4 Qe5 Nxh5+ Kg8 Nxf6+ Kg7 Nd7 Qe7 Nxf8 Rxf8 Qf3 Re8 Qf5 d4 Rh7+ Kg8 Qh5 dxe3 Rh8+,Van't Kruijs Opening,1
10097,giDahiaE,46,resign,black,1141,1230,e4 d5 b3 e5 exd5 Qxd5 Bc4 Qxg2 Be2 Bg4 Bb5+ Bd7 Bxd7+ Nxd7 Nf3 Qxh1+ Ng1 Qe4+ Ne2 Qh1+ Ng1 Bb4 Qg4 g6 f4 Qe4+ Kd1 Ngf6 Qh4 O-O Bb2 Qd5 d3 Rfe8 Nf3 exf4 Ng5 Re1+ Qxe1 Bxe1 Kxe1 Qxg5 Bxf6 Re8+ Kf1 Qxf6,Scandinavian Defense: 2.b3,3
10098,yVrVYrT8,30,mate,black,1151,1248,e4 e5 b3 Qf6 Bc4 Bc5 Nf3 Nh6 O-O Ng4 Bxf7+ Kxf7 Re1 Qh6 h3 Bxf2+ Kh1 Ne3 Qe2 Bxe1 Qxe1 Nxg2 Nxe5+ Ke6 d3 Qxh3+ Kg1 Nxe1 Bg5 Qg2#,King's Pawn Opening: 2.b3,3
10099,oTKqAw0e,40,resign,white,1339,1158,d4 b6 g3 c5 Bg2 d5 c4 e6 e4 Nf6 e5 Ne4 h4 Be7 f3 Nc3 bxc3 O-O Nh3 Qe8 f4 f6 cxd5 fxe5 dxe6 g5 Bxa8 Bxe6 dxe5 g4 Nf2 Qf7 Nxg4 Bg5 Rf1 Bxg4 Qxg4 Rd8 fxg5 Rf8,English Defense #2,2
10100,l9TY1cGa,11,mate,white,1257,1169,e4 e5 Nf3 d6 Bc4 Bg4 h3 Bxf3 Qxf3 c6 Qxf7#,Philidor Defense #3,5
10101,4nSJJfTO,69,mate,white,1216,1182,d4 d6 Nc3 g6 Nf3 Bf5 e4 Bg4 h3 Bxf3 Qxf3 e5 d5 Bg7 Bb5+ c6 Be2 Nf6 Bg5 O-O O-O-O Qb6 Bxf6 Nd7 Bxg7 Kxg7 b3 Qc7 Qg3 b5 h4 h5 Bxh5 Kh7 Bf3 Qb7 h5 Rab8 hxg6+ Kg7 gxf7+ Kf6 Rh6+ Ke7 Qg5+ Nf6 Qxf6+ Kd7 Bg4+ Kc7 Qxd6+ Kb6 a4 bxa4 Nxa4+ Ka6 Qxc6+ Ka5 Qc5+ Qb5 Qxb5+ Rxb5 Be6 Rc8 Bxc8 Rc5 f8=Q Kb4 Qxc5#,Queen's Pawn,2
10102,Qx9vKmcw,28,mate,black,1199,1129,e4 e5 Nf3 d6 Bc4 Be6 Bb5+ c6 Ba4 Bg4 O-O Bxf3 gxf3 Qg5+ Kh1 Nf6 Rg1 Qh4 Re1 Qxf2 f4 exf4 e5 f3 exf6+ Kd8 d3 Qg2#,Philidor Defense #3,5
10103,RDPJz0hZ,18,resign,white,1028,1220,d4 e5 dxe5 Bc5 Nc3 Qh4 e3 Bxe3 Bxe3 Nh6 Nf3 Qe7 Nd5 Qe6 Nxc7+ Kd8 Nxe6+ fxe6,Englund Gambit,2
10104,aYLF5vtc,33,mate,white,1201,1236,d4 e5 c3 Nf6 Nd2 Be7 dxe5 Ne4 Nxe4 d6 exd6 Bh4 g3 Bg4 Nf3 Bxf3 exf3 O-O gxh4 g6 Bg5 f6 Bc4+ Kg7 Qd4 Re8 Bxf6+ Kf8 Bxd8 Rxd8 Qf6+ Ke8 Qf7#,Englund Gambit,2
10105,6yjF8nB1,17,mate,white,1218,1294,e4 e6 Bc4 c6 Qh5 d5 Bb3 d4 f4 Nf6 Qf3 e5 fxe5 Bg4 Qf2 Nxe4 Qxf7#,French Defense #2,2
10106,RKTNlPnz,74,resign,white,1202,1201,e4 d5 exd5 Qxd5 Nf3 e5 a4 f6 Bb5+ Bd7 O-O Bxb5 axb5 Qxb5 Re1 Bc5 d3 Bb6 c4 Qc5 Qe2 Nc6 Be3 Qe7 c5 Ba5 d4 Bxe1 Nxe1 exd4 Kh1 b6 Na3 a6 Nc4 bxc5 g4 Nh6 g5 fxg5 Rd1 Nf5 Rd3 Qe5 Nxe5 Nxe5 Bxg5 O-O Qh5 Nxd3 Nxd3 Rae8 Nf4 Re1+ Kg2 Ne3+ fxe3 dxe3 Ne6 Re2+ Kh3 Ref2 Nxf8 Kxf8 Qxh7 e2 Bd2 Rf3+ Kg2 Rd3 Qf5+ Kg8 Qe6+ Kh7,Scandinavian Defense: Mieses-Kotroc Variation,4
10107,QeJP7bVt,87,resign,white,1507,1207,e4 e6 a3 Bd6 Nf3 Kf8 d4 c5 e5 Be7 c3 f6 exf6 Nxf6 dxc5 Bxc5 Bd3 Ng4 O-O Bxf2+ Rxf2 Nxf2 Kxf2 Nc6 Qc2 h6 Nbd2 Qb6+ Ke2 d5 Nf1 e5 Nh4 Ne7 Be3 Bg4+ Ke1 Qf6 Qf2 Qxf2+ Bxf2 e4 Bc2 g5 Ne3 Be6 Kd2 Kg7 Nef5+ Bxf5 Bd4+ Kf7 Bxh8 gxh4 Bd4 Rg8 Rg1 Nc6 Be3 h3 g3 Ne5 Rf1 Nc4+ Ke2 Kg6 Bxa7 Bg4+ Ke1 Ra8 Bd4 Ra6 Bb3 Nxb2 Bxd5 Bf3 Bxb7 Rxa3 Kf2 Nd3+ Ke3 Ra2 Bxe4+ Bxe4 Kxe4 Re2+ Kxd3,French Defense #2,2
10108,4HyJ3kXd,61,outoftime,white,1517,1212,d4 Nf6 d5 c6 dxc6 Nxc6 a3 d5 c3 h6 Bf4 e5 Bg3 Bd6 e3 Kf8 Nf3 e4 Nfd2 Bxg3 hxg3 Qb6 b3 Ne5 Be2 Bg4 Bxg4 Nfxg4 Qe2 Nd3+ Kf1 Ndxf2 Rh5 Rc8 Rxd5 Nxe3+ Ke1 Nd3+ Rxd3 Nc2+ Kf1 exd3 Qxd3 Nxa1 Qd7 Rd8 Qa4 Nxb3 Qxb3 Qxb3 Nxb3 Rd1+ Ke2 Rxb1 Nd2 Ra1 Nc4 b5 Nd6 a6 Kd3,Indian Game: Pawn Push Variation,3
10109,3VMmQAAK,82,mate,black,1438,1186,e4 c5 Nf3 e6 d3 Bd6 e5 Be7 c3 Nc6 Be2 d6 d4 dxe5 dxe5 Qxd1+ Bxd1 f6 Bf4 Nxe5 Nxe5 fxe5 Bxe5 Nf6 O-O O-O Bf3 Nd7 Bg3 a5 a4 Nb6 b3 c4 bxc4 Nxc4 Be2 Nb6 Nd2 Bd7 Bb5 Bxb5 axb5 Rac8 Be5 Rf5 f4 Bc5+ Kh1 Be3 Nb3 Nd5 Nxa5 Nxf4 Bxf4 Bxf4 Nxb7 Rxc3 g4 Rf8 Rab1 Rc2 h3 Rc3 Kg2 Rg3+ Kh2 Rxg4+ Kh1 Rg3 b6 Rxh3+ Kg2 Rh2+ Kg1 Rd2 Na5 Rf5 b7 Rg5+ Kh1 Rh2#,Sicilian Defense: French Variation,4
10110,4MiUKjQ0,36,mate,black,1698,1155,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 f4 O-O h3 Nh5 Nf3 f5 e5 Ng3 Rg1 Nc6 Bd3 dxe5 dxe5 Nb4 Bb1 Qxd1+ Nxd1 Rd8 Nf2 Be6 b3 a5 a3 Nc6 Ng5 Nd4 Ba2 Nc2#,King's Indian Defense: Four Pawns Attack,9
10111,GJNd4pG8,39,resign,white,1347,1460,a4 g6 g4 c5 c4 Bg7 d3 Qb6 e3 Bxb2 Ra2 Bg7 Rb2 Qc6 Rc2 Qxh1 d4 Qxg1 Qe2 Qxh2 Rc3 Qh4 Bd2 d6 Rb3 b6 Rb5 Na6 Rb3 Nh6 Qf3 Rb8 Bc3 O-O d5 Bxg4 Qe4 Bf5 Qxh4,Ware Opening,1
10112,Fm4I0YFT,14,resign,black,1500,1549,f4 d5 d4 Nd7 Nd2 c5 c3 Ngf6 dxc5 Nxc5 e3 Nfe4 Nxe4 dxe4,Bird Opening: Dutch Variation,2
10114,6eLZV8yn,36,mate,black,1474,1331,e4 d5 e5 Nh6 d4 Bg4 Be2 Bxe2 Qxe2 e6 Nf3 c6 Bxh6 gxh6 Nc3 Qa5 a3 Na6 O-O c5 dxc5 Qxc5 Qd2 Rd8 b4 Qc4 Na4 Rg8 Nb2 Qg4 Ne1 h5 h3 Qg6 Nf3 Qxg2#,Scandinavian Defense,2
10115,fa2fPFWn,83,outoftime,white,1313,1491,Nf3 d5 h3 Nc6 a3 e5 Nc3 e4 Ng1 Bf5 e3 d4 exd4 Qxd4 Nb5 Qd7 Qh5 g6 Qg5 a6 Nc3 Bh6 Qg3 Nd4 Ra2 Nxc2+ Kd1 e3 Qe5+ Ne7 Qxh8+ Bf8 fxe3 Nxe3+ Ke1 Nc2+ Kd1 O-O-O Qe5 Nc6 Qf4 Re8 Nge2 Ne3+ Ke1 Nc2+ Kd1 h6 h4 g5 hxg5 hxg5 Qxg5 Be7 Qf4 Rg8 b4 Bg5 Qf3 Bg4 Qg3 Ne3+ Ke1 Nc4 d3 Bxc1 Nxc1 Re8+ N1e2 Nd4 dxc4 Nxe2 Bxe2 Bf5 b5 a5 Rd2 Qe6 Qf3 f6 Qf4 Kb8 Nd5,Reti Opening,2
10116,YdPWZiBF,23,resign,black,1317,1430,Nf3 f6 h3 e5 a3 d6 e4 b6 Nc3 c6 d4 b5 d5 cxd5 Nxd5 Bb7 Bxb5+ Nc6 Bxc6+ Bxc6 Nh4 Bxd5 Qd4,Zukertort Opening: Arctic Defense,2
10117,Dw6cTG51,86,mate,black,1232,1307,e4 d5 e5 e6 Qf3 c6 d3 d4 Na3 Na6 Be2 Qb6 Nc4 Qb4+ Bd2 Qc5 Bf4 Nb4 Nd6+ Bxd6 exd6 Qxc2 Rc1 Qxc1+ Bxc1 Nc2+ Kd1 Nb4 Qg3 Bd7 Bg4 f5 Bh5+ g6 Bf3 h5 Qxg6+ Kf8 Bxh5 Be8 Bh6+ Rxh6 Qg3 Bxh5+ Ne2 Rg6 Qe5 Nxd3 Qxd4 Nxf2+ Kd2 Nxh1 d7 Rd8 Qd6+ Ne7 Qc7 Re8 dxe8=Q+ Kxe8 Qb8+ Kf7 Qxb7 Rxg2 Qxc6 Rxe2+ Kc3 Nxc6 b4 Ne5 a4 f4 b5 Re3+ Kd4 Ra3 Kxe5 f3 Kd4 f2 Kc5 f1=Q Kb4 Qa1 Ka5 Rxa4#,Scandinavian Defense,2
